tweet,sentiment,highlight
- baby shou belbous lyom 3al sahra? - pantalon - bss shob ktir - tannoura - betbayyene nasha - pantalon - ma bestahkim or2ous - tanoura,Neutral,Joke
- ya3ne ya l ma3ash deghre byokhlas ya ana ktir bosrouf *mom's reply* what about both? - 😒,Neutral,None
-Carla ma ha tsad2eee - Shuuuuu fiiii - Eja haydek l helo tdahhakle - ....,Positive,None
"-chou bek ze3len? --""t5ena2na"" ana w sa7ebte w tarakna - Da5lak edeich 3omrak? --13 sene estez -tayeb Khaberne chou sar baynak w bein Dora.",Positive,Joke
-Lily chou ha ta3emle men ba3ed ma tetkharaje ? -nem.,Negative,Joke
-malla a7lam ya zalame -eh man sa2ile ktir - lah ya zake mbere7 shefet kaza 7elem b maneme khefet ktir.,Positive,Joke
-Mama 3m tehdare hayda hakeh ? -eh  mahdum samer saadeh  bs law ma manno kateb -Oookk mama  good night,Neutral,None
:( Nshala ma Yseer shi nshala tetla3 kezbe la hadd hala2 l wade3 rawe2,Negative,None
:( z3elet,Negative,None
“@_Rami_K: @TonyDaouu @carlkhoueiry @Mayharoun 3ida please ktir helwe”😂😂,Positive,None
“@alainabouarra: Kholsit kholsit ossetna kanet ossa helwi ktir byebye byebye byebye ya helwin HEKME 💚💚”,Positive,Sarcasm
“@Andrea_Hajal: Enta ktir helo.”mercii,Positive,None
“@ChaibanRaja: @CharbelSalloum2 3am bet fakir b nour ktir ma fik tel3an” eh er bhek,Negative,None
“@emilioboustany: I wanna give you every inch of my loveeee”chou emilio😉,Positive,None
"“@geagea14: ""@JoeGhanem_: @Mouawad11 min ahla benet mbaynee bel p m?☆"" hahahaha ma chef chaklo joe mnih l manna bl madrase^^” ktiiir helo!!",Neutral,None
"“@jado_saleh: ""@fawzimehio: @jado_saleh akhhhhh😍😍😍 lakk chou haydaaa 🙈 rabbe yi7miyaa walla 🙈""w y7mik 🙏🙏” toi Aussii 😳😘😘",Positive,None
“@jado_saleh: @fawzimehio Hahahaha Top 1 smalla 270 💃💃 btw byotla3le 😂😂😂 el top deiman 👌💃💃😘😘” hahaha eh smalla habbet 270😳,Positive,Joke
“@jado_saleh: @maram_ps @butterfly_hiba jiji 2al ma btnda2 hal song ma 7da by2dar yde2a :))” chifto lech mich live :),Neutral,None
“@LesleyNasr1: “@NayAttieh: shou fi shi aham mnel akel bhal hayet? mashi””,Neutral,None
“@lynnbeyrouthy: Aade horra koun dodd el selesle” yi lynn laa2 helo ysir fi inflation shou beke😂,Negative,None
“@marc_mhanna_17: @FadelGemayel @michelfarah98 bas bro goal taba3e mou5iffff” eh man ktir helo,Positive,None
"“@monika_nakhle: Sorry? Bas fike tba3de 3anne?Sayim 3an l helo.."" @rhea_gabriel hahahhaahahahahahhaahhaahhahaa♥♥♥I love uuuu” hahaahahahhah",Positive,Joke
“@najwakaram: Saba7 l anwar Chta2na Ktir Ya 7abeyib 🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹” Nawartiiiii😍😍😍😍,Positive,None
“@NellyGeorgeHarb: L ta2es ktir mounesab ta nekol hawa” Mnekol nekat kamena aw la2 ? :p,Negative,None
“@Opl611: @LeilaSayssa @andreachaanine @Michel_acra nops”lek hzar chou al ?,Neutral,None
“@RaniaandSylvio: @RaniaRaniaIssa @atme_antonella hiiiiiii rania ana akide ekhda menik kel chi 7ob w 7eniye ana b7ebbik ktir rania ktiir”thx,Positive,Courtesy words
“@rheabamo: Ktir habbet kif bi aldoo😂👅”@sarah_zakhour btetzakkare?😂,Positive,None
“@Seanaoun: Rice and chicken for lunch” inta shab el english msh helo t2oul riz 3a djej,Negative,None
“@ZahraaRahal: @NasserHouda deserves the hugest mabroukkk !!! #elections #aub” hyte thank youuuuu Allah yberk fike ^^ #elections #aub,Positive,None
“bas oul ene jo3ane mesh yaane ttaamine khara @hayet” -TE2020,Negative,Joke
@__Nata20 @najwakaram hayda el interview li ma3 imad hawari 3a arabica lama kenit bi mahrajen dbayye,Neutral,None
@_Edyyyyy @BilalBeainy le chou be l gym?,Neutral,None
@_elsakh eh hayda Ralph,Neutral,None
@_gababy staghfarallah shu hal logic l khazzee2 hayda. Ma kel li 3am yijo are normal soldiers 2lel l kiyediyye li byestashehdo asesan. Akhh,Negative,None
@_Nikkiie_ @danielmardinian bas bedo b kun sari3 ðŸ‘€,Neutral,None
@_Nikkiie_ @jadbadine toz,Negative,None
@_Nikkiie_ fi mena dress kame ...,Neutral,None
@_Nikkiie_ ma hekkk,Neutral,None
@_Nikkiie_ w er :p,Negative,Foul language
@_Nikkiie_ yal wasle,Neutral,None
@_VanillaH0neyy eh chou ba3mil ya3ne,Neutral,None
@@HoldThyPeace bro iza inta b beirut nzal bedivere ana honik,Neutral,None
@2009Cici @ra7eeq_ma5toum 3M yetmaskharr  hayda ma3na ru2e:p,Neutral,None
@3ajaremVoting @NancyAjram @loloalghazzawi @AmanyLamara @meme_ajram @3ajarem @3ajaremKingdom bet322eeed akeed w thx la a7la amany,Positive,Courtesy words
@555Seehaam alah ykhalike w gd morning w nchala ykoun nharik helo,Positive,None
@7kiJelis @LBC_Group minou hayda l wate ta ye7ke 3an l masi7 w l edisin,Negative,None
@7kiJelis @lebnenonline sorry kamen hayda ma elo din tfeh 3ala hek wezara,Negative,Foul language
@7Merhi hayda ya3ne l wahad byeje nos kherfen nos majnun :p,Negative,None
@9GAG @MayssaERassy bit zakrik hal soura be hada?🌝😂,Positive,None
@AbbasJIbrahim ðŸ˜‚ðŸ˜‚ðŸ˜‚ tal3a tal3eta ktir,Neutral,Sarcasm
@AbbassAk93 basitaa btinzal beirutðŸ˜³ w ana sarle zamen ma ri7et cineðŸ˜­,Neutral,None
@AbbassAk93 hahaha hayda typically ana 😂😂 same to u habbub😘😘,Positive,None
@Abbassnourdeen1 2emit al 2iyemeh inno keef fi chabeb min al ouwet 3am byitzaharo ma3 al thowar . Bass bi 7ekelon la jame3it al hezb will 7arakeh yirkabo al thawra wa bi kill 3ayn we27a bi siffa 7ezbiyeh . Ma 3am bifham 🤦‍♂️ 🤦‍♂️🤦‍♂️,Negative,None
@AbbassSmeha ymkn teda7ak 3a sandro mazbut bas shefna liverpool shu 3emlo w shefna ade 7a2u marqinhous !,Negative,None
@Abbaszahri chou 3amel le ?,Neutral,None
@Abbaszahri Hahaha hayda l hadaf :p,Neutral,None
@abdallah_7ala bonjour ya 3omri. Chu helo kel yom ou3a w leke ahla kalem men 7ala ma poupee,Positive,Courtesy words
@abdlsater ah helo hahah,Positive,None
@abdosfeir hadan allak ennak ktir mahdoum? :),Positive,None
@AbeerAldilati chou beha shamlakan 😒,Negative,None
@abiad98 lak w3aaaaa ya mastoul ya majdoubbbb 3ama chou ma elak 3aazzzzz,Negative,Foul language
@AbiBb9 @NadiaBsat nadia bsat gher ossaaaaaa chou baddik bet3a2idddddddddd,Positive,None
@AboNajemElie ktir te3bir 7elo wsadi2 100/100,Positive,None
@AbouJaoudehTony ra3abetne ya zalame ;p,Negative,None
@AbouNajemElie ltagha l machrou3 w chakle metlak 7a nem ;) w chakle 7a esba2ak loll,Negative,None
@aboyarounsaab93 twitter hayda TWITTER eno ok bynazlo shi pic or tnen max bas mesh kel d2e2a pic -_-,Negative,None
@AbyadAboud Ktir helo bel ousbou3 bas mberih ken sheta ktir... Ahla w sahla betnawwir,Positive,None
@actortaim mustahil addeh kenet helo l yom,Positive,None
@AdeleAssaf khalas t3ebet😂😭,Negative,None
@adelkaram9 man enta ktir talentedddd ^_^ Bravo to the team (y) @fakihn @TareckKaram ! L episode bt3a2iid :D @hayda7akeh #hayda7akeh #hayda7akeh,Positive,None
@AdhamNabulsi sorry ma 3m bekteblak ktir metel l 3ade 😔 bs marida shwy lyom 😔 hope everything is fine with you ❤❤ I miss youu!!,Negative,None
@ahmadabdallah88 hayda dalil edde ahrinak :p,Negative,Bullying
@ahmadalayoubi07 Ma3 3elem enou sar 3andak 7ayetak tefha bas yala i love u too take care @#Beirut #Beirut,Positive,Courtesy words
@Ahmaddib2014 haha hayda siret kil bnt wen ma ra7it fa akid badak tesma3 fih :p,Neutral,None
@AhmaddOssaily @ReeemAjam aslan hayda l shaytan li sharreke yeh la2an amerkene,Negative,None
@ahmadmadi12 ♡ ♡lak alllah allah shu hal hake el helo,Positive,None
@ahmadmadi12 kif l helo lyom? Miss u :( mwah,Negative,None
@ahmadmadi12 yii shu bheb when you reply me :$ktir bnbst nshala nharak ykoun helo habibi lyom mwaaaaaaaaaaah,Positive,None
@AhmadSharara bas 7asse twitter 7ay2oum 3layye :p ktir majlou2in fiyun enno ma khalas kello a team..,Negative,None
@akhmad_baz eh 3ade ba3ed ma fi 3layha ktir kelon 20 :p,Neutral,None
@AkikiJoyce @Gebran_Bassil Hahaha..Sou2al Ma3ale El Wazir Houwwe Sou2al Kel El Moushehidin Wel Moutebi3in...Hassayna Chi Na2is 😄😄,Neutral,None
@AkikiJoyce Habbet! Hayda el rideau 3andkoun a la maison?,Positive,None
@AklYara bhebik ktir ktirrr💘💘,Positive,None
@Alaaaaz inno hayda Huwe El islem.,Neutral,None
@alainabouarra chou 3ende,Neutral,None
@Alaingreige @xenizational No. Ktir bechi3!!!,Negative,None
@Alex_Sfeir 7ej tenheblo mch wahdkon ortet convoiyet l brazil kamen man with all my respect bas chi w menno man ktir habal heke ma ela me3na,Negative,None
@AlexandrSadek byswa zabre hayda !!,Negative,Foul language
@Alihd7 sa7 bs ktir zeyde l ossa w msabbet w ihenet w araf.. Zet l shi sar ma3 haifa w clipa l jdid. Fi tension msh tabi3iye 3nd l 3alam,Negative,None
@alii_wehbi hahaha shu hayda ya 3ayda :p,Positive,None
@AliiMezher 100% tfeh shou hayda.. Ana sme3et aghaniya 3l radio medre kif sayra hiye w aghaniya,Negative,None
@alijaafar54321 hayda 3ana b lebnen ? ðŸ˜³ðŸ˜³ðŸ˜³,Negative,None
@AliJMansour @BoshraTweets mafi majel lal mu2araneh haydak dress bikel me3na lkelmeh hayda charchaf ma3 berdeye lezim tnedeh bayadat lal be3,Negative,Bullying
@AliJMansour @boudzj kenna ne3senin haypartna estez aliii be hel soura :p lol,Positive,None
@AliJMansour @HaifaWehbe trikou y3aweh la 7alo ana ma 7a 2ora chu 2al hayda lwateh ra7it 3lei ra7 ymout min ghirto mn naje7at haifa !,Negative,None
@AliKaraki91 eno mn bab l maze7..bs ktir lal 6,Neutral,None
@AliKaraki91 helo helo 😍 allah yeb3at l kheir,Positive,None
@AliKaraki91 Hiyye lebse shar3e hatta mata3mil fik shi am toli3 l 3akes. Helo wallah,Neutral,None
@AliKaraki91 no hl2 b2ulo b7bik metel el mar7aba l7ob sar bayekh ktir,Negative,None
@AliKaraki91 ta tchouf adde mech taye2on lal engliz chouf chou 7eke 3anon ba3ed el game,Negative,None
@AlineTanoury mmmmm chou belik fadeh ekhir hal leillll belik bi dalida w ziad w eza habbo ba3doun tarako ba3doun lollll chou hal adar,Negative,None
@AlissarHelou guess sho bda l3bet shedee I spoke with mayya shes in!! #Beirut #friends #Beirut #friends,Positive,None
