tweet,sentiment,highlight
@Douniakatibi eh ktir bahdaleeeeee,Negative,None
Shu b7bk ya beirut 😍❤️🌲 ,Positive,Courtesy words
L liste shwe ktir mesh zabta ,Negative,None
@trissaabiissa ktir helo ltalej bs bye7la bo wjoudik set trissa yalla ltalej natrik ya saleimm cho 7elo ltalejj,Positive,None
akh ya allah ghachaytine dehek hahahaha,Positive,None
@zakichreif jamelo el helo❤❤ yuburnee ,Positive,None
@VivoD3 @whos_al @alimouinjaber @rayaelhassan Ra7et el solta el tanfiziyi hala2 fi el tashri3iyi wel jomhouriyi...ya byetnezalo w by3mlonyali el thawra beda yeh ya 2ama mafi rest la yeghra2 lebnenðŸ˜˜,Negative,Sarcasm
"“@monika_nakhle: Sorry? Bas fike tba3de 3anne?Sayim 3an l helo.."" @rhea_gabriel hahahhaahahahahahhaahhaahhahaa♥♥♥I love uuuu” hahaahahahhah ",Positive,Joke
Iniesta chou hal la3ibbb,Positive,None
@NancyAjram #MBCTheVoice bet3a2di nancyyyyyyyy kel marra 3an marra #MBCTheVoice,Positive,None
@ZoyaHarbi lhamdella ktir mneeh bas mbereh tabbashna shway :) mish bas ana okkkkkkk ? :((( ,Positive,None
@JessyBassil Lol so2al ktir tefeh😂,Negative,None
@AndreaJadaa chou rah na3mel lal presentation boukra? hesse rah nos2ot bi ouwe,Negative,None
@HusseinRimmani ktir ha itdeya2 iza fal.,Negative,None
Hahahaha maybe its weird bas believe me iza loubye b la7me w rez L laban 7eda ktir tayeb ,Positive,None
Sabah l helo sabah l maamoul sabah l festo2 halabe ,Positive,None
3anjad hayda esmo match football? 2 penalties misses? Eno walaww,Negative,Sarcasm
Ana l helo fiyeh eno am bekoul sandwich w fiyo chi kilo toum w nezla end rfi2eh doghreh ,Positive,Joke
ahle wala marra aloule bravo,Negative,None
Mahboube ktir w 3adad fanz bel insta twitter t5ata tolab yale keno ma3ik bi 2a2al mn 3 weeks.chou ra2yik bi natije ? #DriveAt5 #LeaMakhoul #DriveAt5 #LeaMakhoul,Positive,None
@GeorgeGMouhayar hein ? Lah adamet my projects 😊,Positive,None
